"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2010","0.8856","0.8863","0.8873","0.8857","","-0.05%"
"01/04/2010","0.8952","0.8860","0.8969","0.8854","","1.08%"
"01/05/2010","0.8980","0.8953","0.9017","0.8944","","0.31%"
"01/06/2010","0.8991","0.8982","0.9014","0.8924","","0.12%"
"01/07/2010","0.8983","0.8997","0.9028","0.8978","","-0.09%"
"01/08/2010","0.8993","0.8987","0.9010","0.8920","","0.11%"
"01/11/2010","0.9010","0.8980","0.9029","0.8971","","0.19%"
"01/12/2010","0.8959","0.9013","0.9029","0.8955","","-0.57%"
"01/13/2010","0.8908","0.8962","0.8971","0.8892","","-0.57%"
"01/14/2010","0.8878","0.8910","0.8938","0.8864","","-0.34%"
"01/15/2010","0.8845","0.8880","0.8883","0.8809","","-0.37%"
"01/18/2010","0.8804","0.8829","0.8837","0.8781","","-0.46%"
"01/19/2010","0.8732","0.8806","0.8815","0.8712","","-0.82%"
"01/20/2010","0.8656","0.8732","0.8740","0.8648","","-0.87%"
"01/21/2010","0.8699","0.8657","0.8725","0.8653","","0.50%"
"01/22/2010","0.8776","0.8699","0.8787","0.8686","","0.89%"
"01/25/2010","0.8711","0.8793","0.8799","0.8703","","-0.74%"
"01/26/2010","0.8717","0.8713","0.8755","0.8666","","0.07%"
"01/27/2010","0.8671","0.8720","0.8733","0.8656","","-0.53%"
"01/28/2010","0.8659","0.8672","0.8678","0.8600","","-0.14%"
"01/29/2010","0.8663","0.8659","0.8694","0.8629","","0.05%"
"02/01/2010","0.8726","0.8688","0.8772","0.8681","","0.73%"
"02/02/2010","0.8735","0.8729","0.8765","0.8707","","0.10%"
"02/03/2010","0.8740","0.8740","0.8772","0.8709","","0.06%"
"02/04/2010","0.8718","0.8744","0.8760","0.8711","","-0.25%"
"02/05/2010","0.8736","0.8719","0.8758","0.8686","","0.21%"
"02/08/2010","0.8751","0.8762","0.8803","0.8729","","0.17%"
"02/09/2010","0.8775","0.8758","0.8820","0.8751","","0.27%"
"02/10/2010","0.8808","0.8776","0.8822","0.8742","","0.38%"
"02/11/2010","0.8719","0.8810","0.8846","0.8699","","-1.01%"
"02/12/2010","0.8675","0.8719","0.8728","0.8654","","-0.50%"
"02/15/2010","0.8681","0.8685","0.8705","0.8668","","0.07%"
"02/16/2010","0.8720","0.8684","0.8747","0.8677","","0.45%"
"02/17/2010","0.8677","0.8721","0.8744","0.8668","","-0.49%"
"02/18/2010","0.8712","0.8679","0.8725","0.8660","","0.40%"
"02/19/2010","0.8797","0.8711","0.8802","0.8696","","0.98%"
"02/22/2010","0.8780","0.8811","0.8819","0.8760","","-0.19%"
"02/23/2010","0.8762","0.8782","0.8838","0.8749","","-0.21%"
"02/24/2010","0.8783","0.8761","0.8815","0.8749","","0.24%"
"02/25/2010","0.8876","0.8787","0.8895","0.8771","","1.06%"
"02/26/2010","0.8931","0.8876","0.8976","0.8867","","0.62%"
"03/01/2010","0.9042","0.8988","0.9152","0.8965","","1.24%"
"03/02/2010","0.9092","0.9046","0.9104","0.9017","","0.55%"
"03/03/2010","0.9070","0.9095","0.9104","0.9073","","-0.24%"
"03/04/2010","0.9030","0.9071","0.9086","0.9016","","-0.44%"
"03/05/2010","0.8998","0.9035","0.9050","0.8980","","-0.35%"
"03/08/2010","0.9047","0.9008","0.9075","0.8995","","0.54%"
"03/09/2010","0.9066","0.9049","0.9099","0.9045","","0.21%"
"03/10/2010","0.9117","0.9070","0.9136","0.9060","","0.56%"
"03/11/2010","0.9081","0.9120","0.9124","0.9062","","-0.39%"
"03/12/2010","0.9059","0.9082","0.9113","0.9044","","-0.24%"
"03/15/2010","0.9084","0.9079","0.9130","0.9045","","0.28%"
"03/16/2010","0.9029","0.9083","0.9122","0.9011","","-0.61%"
"03/17/2010","0.8967","0.9030","0.9069","0.8951","","-0.69%"
"03/18/2010","0.8922","0.8965","0.8975","0.8915","","-0.50%"
"03/19/2010","0.9012","0.8926","0.9021","0.8920","","1.01%"
"03/22/2010","0.8976","0.9018","0.9047","0.8969","","-0.40%"
"03/23/2010","0.8974","0.8979","0.9020","0.8964","","-0.02%"
"03/24/2010","0.8952","0.8973","0.8983","0.8906","","-0.25%"
"03/25/2010","0.8963","0.8954","0.8995","0.8898","","0.12%"
"03/26/2010","0.8997","0.8963","0.9028","0.8955","","0.38%"
"03/29/2010","0.8991","0.9028","0.9030","0.8969","","-0.07%"
"03/30/2010","0.8901","0.8997","0.9002","0.8878","","-1.00%"
"03/31/2010","0.8898","0.8902","0.8947","0.8869","","-0.03%"
"04/01/2010","0.8879","0.8899","0.8905","0.8841","","-0.21%"
"04/02/2010","0.8877","0.8884","0.8900","0.8866","","-0.02%"
"04/05/2010","0.8817","0.8833","0.8862","0.8813","","-0.68%"
"04/06/2010","0.8773","0.8817","0.8861","0.8765","","-0.50%"
"04/07/2010","0.8753","0.8778","0.8821","0.8749","","-0.23%"
"04/08/2010","0.8745","0.8755","0.8787","0.8737","","-0.09%"
"04/09/2010","0.8776","0.8745","0.8786","0.8705","","0.35%"
"04/12/2010","0.8837","0.8827","0.8852","0.8803","","0.70%"
"04/13/2010","0.8849","0.8845","0.8864","0.8804","","0.14%"
"04/14/2010","0.8824","0.8852","0.8866","0.8805","","-0.28%"
"04/15/2010","0.8761","0.8827","0.8833","0.8749","","-0.71%"
"04/16/2010","0.8785","0.8768","0.8803","0.8743","","0.27%"
"04/19/2010","0.8790","0.8815","0.8845","0.8787","","0.06%"
"04/20/2010","0.8741","0.8794","0.8806","0.8739","","-0.56%"
"04/21/2010","0.8688","0.8742","0.8751","0.8681","","-0.61%"
"04/22/2010","0.8635","0.8689","0.8699","0.8630","","-0.61%"
"04/23/2010","0.8700","0.8638","0.8721","0.8606","","0.75%"
"04/26/2010","0.8666","0.8675","0.8694","0.8598","","-0.39%"
"04/27/2010","0.8632","0.8662","0.8700","0.8627","","-0.39%"
"04/28/2010","0.8690","0.8630","0.8711","0.8627","","0.67%"
"04/29/2010","0.8629","0.8689","0.8735","0.8630","","-0.70%"
