"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2026","58.82","57.85","59.97","57.28","743.39K","0.26%"
"02/19/2026","58.67","57.77","59.18","56.47","697.39K","1.56%"
"02/18/2026","57.77","59.00","59.46","56.82","725.91K","-1.57%"
"02/17/2026","58.69","59.83","59.83","55.21","1.12M","-3.64%"
"02/13/2026","60.91","58.68","61.87","56.79","1.07M","5.56%"
"02/12/2026","57.70","63.00","63.51","57.15","919.34K","-8.22%"
"02/11/2026","62.87","64.25","66.50","58.12","1.19M","0.45%"
"02/10/2026","62.59","65.00","66.65","62.29","1.37M","-2.42%"
"02/09/2026","64.14","57.28","66.70","56.99","2.04M","15.94%"
"02/06/2026","55.32","52.84","57.63","50.71","1.37M","9.87%"
"02/05/2026","50.35","49.17","51.28","49.00","634.50K","-2.20%"
"02/04/2026","51.48","53.03","53.58","50.13","704.20K","-2.31%"
"02/03/2026","52.70","52.87","53.21","50.79","865.85K","2.75%"
"02/02/2026","51.29","50.40","51.38","47.70","1.19M","-1.08%"
"01/30/2026","51.85","51.11","53.32","50.09","1.13M","-3.14%"
"01/29/2026","53.53","56.51","57.66","52.30","1.84M","-0.85%"
"01/28/2026","53.99","52.30","55.63","52.00","1.62M","5.55%"
"01/27/2026","51.15","44.43","52.92","44.43","2.11M","15.99%"
"01/26/2026","44.10","44.00","44.47","42.70","858.28K","2.30%"
"01/23/2026","43.11","44.00","44.31","42.61","520.93K","-1.69%"
"01/22/2026","43.85","42.87","44.30","42.82","495.43K","2.77%"
"01/21/2026","42.67","42.42","43.04","40.90","541.28K","1.26%"
"01/20/2026","42.14","42.48","43.28","42.00","636.70K","0.55%"
"01/16/2026","41.91","41.10","42.29","40.59","643.68K","4.54%"
"01/15/2026","40.09","39.45","40.44","38.63","453.55K","0.68%"
"01/14/2026","39.82","42.08","42.50","39.08","983.95K","-4.46%"
"01/13/2026","41.68","43.28","43.49","41.10","797.58K","-2.69%"
"01/12/2026","42.83","40.97","43.42","40.39","1.17M","9.82%"
"01/09/2026","39.00","38.21","39.48","38.16","569.13K","2.44%"
"01/08/2026","38.07","37.30","38.30","37.12","351.88K","0.50%"
"01/07/2026","37.88","37.75","38.10","36.54","467.47K","-0.45%"
"01/06/2026","38.05","36.40","38.06","36.00","693.10K","4.73%"
"01/05/2026","36.33","35.87","36.65","34.57","586.20K","4.49%"
"01/02/2026","34.77","34.30","34.94","34.05","368.10K","2.11%"
"12/31/2025","34.05","34.14","34.36","33.55","401.77K","1.79%"
"12/30/2025","33.45","33.77","33.89","33.14","478.93K","0.09%"
"12/29/2025","33.42","33.75","34.05","32.76","544.01K","-3.38%"
"12/26/2025","34.59","35.50","35.71","33.76","519.36K","-0.57%"
"12/24/2025","34.79","33.85","35.16","33.40","632.89K","3.11%"
"12/23/2025","33.74","33.70","34.71","33.70","1.24M","0.03%"
"12/22/2025","33.73","33.33","34.14","33.20","1.11M","1.72%"
"12/19/2025","33.16","32.65","34.42","32.58","1.28M","1.62%"
"12/18/2025","32.63","33.00","33.66","32.54","865.00K","-0.21%"
"12/17/2025","32.70","32.56","32.76","31.30","786.67K","1.68%"
"12/16/2025","32.16","31.75","32.63","31.44","818.87K","1.29%"
"12/15/2025","31.75","32.40","32.50","30.65","887.32K","0.09%"
"12/12/2025","31.72","32.00","32.44","31.03","963.24K","1.08%"
"12/11/2025","31.38","30.77","32.02","30.77","523.79K","0.03%"
"12/10/2025","31.37","31.02","31.61","30.56","498.35K","0.93%"
"12/09/2025","31.08","30.40","31.47","30.15","398.46K","2.47%"
"12/08/2025","30.33","31.10","31.43","29.93","403.92K","-1.81%"
"12/05/2025","30.89","30.87","31.58","30.75","303.38K","0.42%"
"12/04/2025","30.76","31.00","31.05","30.30","277.84K","-1.98%"
"12/03/2025","31.38","30.15","32.50","29.78","361.45K","5.37%"
"12/02/2025","29.78","30.13","30.20","28.83","224.11K","1.81%"
"12/01/2025","29.25","28.63","29.47","28.50","383.28K","1.88%"
"11/28/2025","28.71","27.44","28.75","27.22","258.76K","5.28%"
"11/26/2025","27.27","26.57","27.37","26.50","195.61K","2.63%"
"11/25/2025","26.57","26.27","26.60","26.03","181.74K","2.04%"
"11/24/2025","26.04","26.44","26.48","25.83","242.91K","-1.51%"
"11/21/2025","26.44","25.80","27.10","25.48","307.14K","2.24%"
"11/20/2025","25.86","25.96","27.31","25.81","541.18K","0.54%"
"11/19/2025","25.72","25.71","26.30","25.04","616.55K","0.39%"
"11/18/2025","25.62","25.09","25.72","24.78","320.22K","0.95%"
"11/17/2025","25.38","25.23","25.95","24.90","384.38K","0.55%"
"11/14/2025","25.24","24.85","25.40","24.50","486.51K","-0.75%"
