Data,Último,Abertura,Máxima,Mínima
2026-02-20,58.82,57.85,59.97,57.28
2026-02-19,58.67,57.77,59.18,56.47
2026-02-18,57.77,59.0,59.46,56.82
2026-02-17,58.69,59.83,59.83,55.21
2026-02-13,60.91,58.68,61.87,56.79
2026-02-12,57.7,63.0,63.51,57.15
2026-02-11,62.87,64.25,66.5,58.12
2026-02-10,62.59,65.0,66.65,62.29
2026-02-09,64.14,57.28,66.7,56.99
2026-02-06,55.32,52.84,57.63,50.71
2026-02-05,50.35,49.17,51.28,49.0
2026-02-04,51.48,53.03,53.58,50.13
2026-02-03,52.7,52.87,53.21,50.79
2026-02-02,51.29,50.4,51.38,47.7
2026-01-30,51.85,51.11,53.32,50.09
2026-01-29,53.53,56.51,57.66,52.3
2026-01-28,53.99,52.3,55.63,52.0
2026-01-27,51.15,44.43,52.92,44.43
2026-01-26,44.1,44.0,44.47,42.7
2026-01-23,43.11,44.0,44.31,42.61
2026-01-22,43.85,42.87,44.3,42.82
2026-01-21,42.67,42.42,43.04,40.9
2026-01-20,42.14,42.48,43.28,42.0
2026-01-16,41.91,41.1,42.29,40.59
2026-01-15,40.09,39.45,40.44,38.63
2026-01-14,39.82,42.08,42.5,39.08
2026-01-13,41.68,43.28,43.49,41.1
2026-01-12,42.83,40.97,43.42,40.39
2026-01-09,39.0,38.21,39.48,38.16
2026-01-08,38.07,37.3,38.3,37.12
2026-01-07,37.88,37.75,38.1,36.54
2026-01-06,38.05,36.4,38.06,36.0
2026-01-05,36.33,35.87,36.65,34.57
2026-01-02,34.77,34.3,34.94,34.05
2025-12-31,34.05,34.14,34.36,33.55
2025-12-30,33.45,33.77,33.89,33.14
2025-12-29,33.42,33.75,34.05,32.76
2025-12-26,34.59,35.5,35.71,33.76
2025-12-24,34.79,33.85,35.16,33.4
2025-12-23,33.74,33.7,34.71,33.7
2025-12-22,33.73,33.33,34.14,33.2
2025-12-19,33.16,32.65,34.42,32.58
2025-12-18,32.63,33.0,33.66,32.54
2025-12-17,32.7,32.56,32.76,31.3
2025-12-16,32.16,31.75,32.63,31.44
2025-12-15,31.75,32.4,32.5,30.65
2025-12-12,31.72,32.0,32.44,31.03
2025-12-11,31.38,30.77,32.02,30.77
2025-12-10,31.37,31.02,31.61,30.56
2025-12-09,31.08,30.4,31.47,30.15
2025-12-08,30.33,31.1,31.43,29.93
2025-12-05,30.89,30.87,31.58,30.75
2025-12-04,30.76,31.0,31.05,30.3
2025-12-03,31.38,30.15,32.5,29.78
2025-12-02,29.78,30.13,30.2,28.83
2025-12-01,29.25,28.63,29.47,28.5
2025-11-28,28.71,27.44,28.75,27.22
2025-11-26,27.27,26.57,27.37,26.5
2025-11-25,26.57,26.27,26.6,26.03
2025-11-24,26.04,26.44,26.48,25.83
2025-11-21,26.44,25.8,27.1,25.48
2025-11-20,25.86,25.96,27.31,25.81
2025-11-19,25.72,25.71,26.3,25.04
2025-11-18,25.62,25.09,25.72,24.78
2025-11-17,25.38,25.23,25.95,24.9
2025-11-14,25.24,24.85,25.4,24.5
2025-11-13,25.43,26.17,26.59,25.28
2025-11-12,26.29,26.09,26.5,25.92
2025-11-11,26.01,26.91,26.91,25.4
2025-11-10,27.11,26.05,27.48,25.9
2025-11-07,25.29,24.3,26.87,23.0
2025-11-06,24.99,25.1,25.29,24.11
2025-11-05,24.84,24.97,25.15,24.12
2025-11-04,24.73,26.0,26.0,24.57
2025-11-03,26.35,26.47,26.89,26.12
2025-10-31,26.58,26.78,26.84,26.29
2025-10-30,26.81,26.89,27.09,26.55
2025-10-29,27.12,27.72,27.84,26.88
2025-10-28,27.52,27.56,28.32,27.5
2025-10-27,27.77,28.35,28.68,27.53
2025-10-24,28.03,27.35,28.05,27.22
2025-10-23,27.33,27.38,27.55,27.01
2025-10-22,26.98,26.73,27.16,26.44
2025-10-21,27.12,28.3,28.3,26.59
2025-10-20,28.56,27.6,28.57,27.53
2025-10-17,27.47,29.18,29.48,27.41
2025-10-16,29.7,28.11,29.79,28.11
2025-10-15,27.95,28.2,28.91,27.77
2025-10-14,27.71,26.85,27.86,26.76
2025-10-13,27.5,26.81,28.1,26.55
2025-10-10,26.46,27.12,27.13,25.86
2025-10-09,27.27,27.76,28.99,27.13
2025-10-08,27.23,25.78,27.26,25.67
2025-10-07,25.58,25.76,26.0,25.41
2025-10-06,25.76,27.13,27.13,25.75
2025-10-03,26.69,26.37,27.2,26.25
