"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2010","0.7256","0.7243","0.7261","0.7220","","0.18%"
"01/04/2010","0.7340","0.7239","0.7355","0.7196","","1.16%"
"01/05/2010","0.7343","0.7342","0.7393","0.7315","","0.04%"
"01/06/2010","0.7379","0.7345","0.7389","0.7302","","0.49%"
"01/07/2010","0.7318","0.7380","0.7431","0.7312","","-0.83%"
"01/08/2010","0.7366","0.7324","0.7382","0.7285","","0.66%"
"01/11/2010","0.7428","0.7395","0.7439","0.7380","","0.84%"
"01/12/2010","0.7387","0.7429","0.7437","0.7363","","-0.55%"
"01/13/2010","0.7398","0.7386","0.7428","0.7369","","0.15%"
"01/14/2010","0.7423","0.7398","0.7444","0.7387","","0.34%"
"01/15/2010","0.7380","0.7427","0.7434","0.7358","","-0.58%"
"01/18/2010","0.7388","0.7353","0.7407","0.7328","","0.11%"
"01/19/2010","0.7392","0.7390","0.7413","0.7333","","0.05%"
"01/20/2010","0.7197","0.7379","0.7386","0.7185","","-2.64%"
"01/21/2010","0.7101","0.7209","0.7236","0.7102","","-1.33%"
"01/22/2010","0.7100","0.7112","0.7180","0.7090","","-0.01%"
"01/25/2010","0.7138","0.7116","0.7174","0.7111","","0.54%"
"01/26/2010","0.7074","0.7140","0.7172","0.7021","","-0.90%"
"01/27/2010","0.7058","0.7078","0.7109","0.7029","","-0.23%"
"01/28/2010","0.7035","0.7059","0.7140","0.7037","","-0.33%"
"01/29/2010","0.7010","0.7050","0.7092","0.7010","","-0.36%"
"02/01/2010","0.7091","0.7003","0.7097","0.6993","","1.16%"
"02/02/2010","0.7118","0.7089","0.7130","0.7038","","0.38%"
"02/03/2010","0.7069","0.7121","0.7153","0.7066","","-0.69%"
"02/04/2010","0.6863","0.7047","0.7057","0.6845","","-2.91%"
"02/05/2010","0.6874","0.6870","0.6934","0.6806","","0.16%"
"02/08/2010","0.6832","0.6891","0.6924","0.6825","","-0.61%"
"02/09/2010","0.6948","0.6829","0.6970","0.6816","","1.70%"
"02/10/2010","0.6925","0.6953","0.6972","0.6894","","-0.33%"
"02/11/2010","0.7015","0.6930","0.7025","0.6910","","1.30%"
"02/12/2010","0.6964","0.7000","0.7012","0.6897","","-0.73%"
"02/15/2010","0.6972","0.6960","0.6991","0.6952","","0.11%"
"02/16/2010","0.7071","0.6970","0.7082","0.6963","","1.42%"
"02/17/2010","0.7034","0.7069","0.7083","0.7017","","-0.52%"
"02/18/2010","0.7058","0.7035","0.7064","0.6985","","0.34%"
"02/19/2010","0.6990","0.7026","0.7032","0.6929","","-0.96%"
"02/22/2010","0.7010","0.7009","0.7040","0.6991","","0.29%"
"02/23/2010","0.6917","0.7010","0.7062","0.6895","","-1.33%"
"02/24/2010","0.6928","0.6918","0.6956","0.6869","","0.16%"
"02/25/2010","0.6913","0.6933","0.6948","0.6846","","-0.22%"
"02/26/2010","0.6975","0.6914","0.7022","0.6902","","0.90%"
"03/01/2010","0.6989","0.6997","0.7019","0.6931","","0.20%"
"03/02/2010","0.6956","0.6997","0.7007","0.6923","","-0.47%"
"03/03/2010","0.6938","0.6961","0.6990","0.6892","","-0.26%"
"03/04/2010","0.6866","0.6938","0.6958","0.6850","","-1.04%"
"03/05/2010","0.6965","0.6866","0.6977","0.6852","","1.44%"
"03/08/2010","0.6997","0.6947","0.7040","0.6945","","0.46%"
"03/09/2010","0.7027","0.7005","0.7039","0.6961","","0.43%"
"03/10/2010","0.7016","0.7027","0.7100","0.7011","","-0.16%"
"03/11/2010","0.7006","0.7019","0.7028","0.6964","","-0.14%"
"03/12/2010","0.7011","0.7006","0.7051","0.6983","","0.07%"
"03/15/2010","0.7018","0.7032","0.7057","0.6985","","0.10%"
"03/16/2010","0.7112","0.7017","0.7121","0.7009","","1.34%"
"03/17/2010","0.7135","0.7110","0.7181","0.7101","","0.32%"
