Data,Último,Abertura,Máxima,Mínima
2010-01-01,0.7256,0.7243,0.7261,0.722
2010-01-04,0.734,0.7239,0.7355,0.7196
2010-01-05,0.7343,0.7342,0.7393,0.7315
2010-01-06,0.7379,0.7345,0.7389,0.7302
2010-01-07,0.7318,0.738,0.7431,0.7312
2010-01-08,0.7366,0.7324,0.7382,0.7285
2010-01-11,0.7428,0.7395,0.7439,0.738
2010-01-12,0.7387,0.7429,0.7437,0.7363
2010-01-13,0.7398,0.7386,0.7428,0.7369
2010-01-14,0.7423,0.7398,0.7444,0.7387
2010-01-15,0.738,0.7427,0.7434,0.7358
2010-01-18,0.7388,0.7353,0.7407,0.7328
2010-01-19,0.7392,0.739,0.7413,0.7333
2010-01-20,0.7197,0.7379,0.7386,0.7185
2010-01-21,0.7101,0.7209,0.7236,0.7102
2010-01-22,0.71,0.7112,0.718,0.709
2010-01-25,0.7138,0.7116,0.7174,0.7111
2010-01-26,0.7074,0.714,0.7172,0.7021
2010-01-27,0.7058,0.7078,0.7109,0.7029
2010-01-28,0.7035,0.7059,0.714,0.7037
2010-01-29,0.701,0.705,0.7092,0.701
2010-02-01,0.7091,0.7003,0.7097,0.6993
2010-02-02,0.7118,0.7089,0.713,0.7038
2010-02-03,0.7069,0.7121,0.7153,0.7066
2010-02-04,0.6863,0.7047,0.7057,0.6845
2010-02-05,0.6874,0.687,0.6934,0.6806
2010-02-08,0.6832,0.6891,0.6924,0.6825
2010-02-09,0.6948,0.6829,0.697,0.6816
2010-02-10,0.6925,0.6953,0.6972,0.6894
2010-02-11,0.7015,0.693,0.7025,0.691
2010-02-12,0.6964,0.7,0.7012,0.6897
2010-02-15,0.6972,0.696,0.6991,0.6952
2010-02-16,0.7071,0.697,0.7082,0.6963
2010-02-17,0.7034,0.7069,0.7083,0.7017
2010-02-18,0.7058,0.7035,0.7064,0.6985
2010-02-19,0.699,0.7026,0.7032,0.6929
2010-02-22,0.701,0.7009,0.704,0.6991
2010-02-23,0.6917,0.701,0.7062,0.6895
2010-02-24,0.6928,0.6918,0.6956,0.6869
2010-02-25,0.6913,0.6933,0.6948,0.6846
2010-02-26,0.6975,0.6914,0.7022,0.6902
2010-03-01,0.6989,0.6997,0.7019,0.6931
2010-03-02,0.6956,0.6997,0.7007,0.6923
2010-03-03,0.6938,0.6961,0.699,0.6892
2010-03-04,0.6866,0.6938,0.6958,0.685
2010-03-05,0.6965,0.6866,0.6977,0.6852
2010-03-08,0.6997,0.6947,0.704,0.6945
2010-03-09,0.7027,0.7005,0.7039,0.6961
2010-03-10,0.7016,0.7027,0.71,0.7011
2010-03-11,0.7006,0.7019,0.7028,0.6964
2010-03-12,0.7011,0.7006,0.7051,0.6983
2010-03-15,0.7018,0.7032,0.7057,0.6985
2010-03-16,0.7112,0.7017,0.7121,0.7009
2010-03-17,0.7135,0.711,0.7181,0.7101
2010-03-18,0.7137,0.714,0.7177,0.7117
2010-03-19,0.708,0.7145,0.7162,0.7064
2010-03-22,0.7065,0.7068,0.7075,0.7
2010-03-23,0.7068,0.7064,0.7082,0.7028
2010-03-24,0.7015,0.7064,0.7073,0.6995
2010-03-25,0.7034,0.7023,0.7105,0.7014
2010-03-26,0.7031,0.7037,0.7095,0.7015
2010-03-29,0.709,0.7054,0.7118,0.7034
2010-03-30,0.7098,0.7095,0.7135,0.7081
2010-03-31,0.7104,0.7101,0.7119,0.7069
2010-04-01,0.7079,0.7109,0.7115,0.7033
2010-04-02,0.7058,0.7083,0.7086,0.7049
2010-04-05,0.7036,0.7067,0.7075,0.702
2010-04-06,0.7053,0.7031,0.7076,0.6963
2010-04-07,0.7071,0.7065,0.7099,0.7026
2010-04-08,0.7074,0.7072,0.7082,0.7006
2010-04-09,0.7157,0.7071,0.7177,0.7065
2010-04-12,0.7113,0.7184,0.7197,0.7109
2010-04-13,0.713,0.712,0.7149,0.7096
2010-04-14,0.7147,0.7136,0.7156,0.7071
2010-04-15,0.7125,0.7149,0.7164,0.7102
2010-04-16,0.7082,0.7121,0.7159,0.7064
2010-04-19,0.712,0.7077,0.7127,0.7053
2010-04-20,0.7114,0.7124,0.7148,0.7077
2010-04-21,0.7089,0.7118,0.7135,0.7075
2010-04-22,0.7102,0.7098,0.7145,0.7069
2010-04-23,0.7168,0.7106,0.7181,0.7083
2010-04-26,0.7227,0.7169,0.726,0.7164
2010-04-27,0.7108,0.7232,0.7239,0.7098
2010-04-28,0.7171,0.7112,0.7225,0.7107
2010-04-29,0.7234,0.7195,0.7246,0.715
2010-04-30,0.7269,0.7237,0.7329,0.7232
2010-05-03,0.7306,0.7286,0.7326,0.7266
2010-05-04,0.7198,0.731,0.7315,0.7188
2010-05-05,0.7177,0.72,0.7222,0.7141
2010-05-06,0.7105,0.7177,0.7281,0.701
2010-05-07,0.7142,0.7113,0.717,0.7038
2010-05-10,0.7222,0.721,0.7298,0.7122
2010-05-11,0.7162,0.7227,0.7229,0.7157
2010-05-12,0.7127,0.7165,0.7202,0.7104
2010-05-13,0.7137,0.7133,0.7195,0.7133
2010-05-14,0.707,0.7143,0.7158,0.706
2010-05-17,0.6971,0.7067,0.7079,0.6916
2010-05-18,0.6907,0.6974,0.7042,0.691
2010-05-19,0.6787,0.6919,0.6925,0.6658
2010-05-20,0.6664,0.6793,0.688,0.662
2010-05-21,0.6782,0.6659,0.6821,0.6639
2010-05-24,0.6695,0.6768,0.6791,0.6685
2010-05-25,0.6709,0.6699,0.6735,0.6561
2010-05-26,0.6631,0.6706,0.6746,0.6605
2010-05-27,0.6831,0.6636,0.6863,0.6627
2010-05-28,0.6792,0.6837,0.6865,0.6755
2010-05-31,0.6804,0.6778,0.6849,0.6697
2010-06-01,0.6752,0.6807,0.6841,0.6701
2010-06-02,0.6812,0.6746,0.6826,0.6718
2010-06-03,0.6839,0.6816,0.6901,0.6751
2010-06-04,0.6703,0.6833,0.6867,0.6681
2010-06-07,0.6588,0.6689,0.6716,0.6581
2010-06-08,0.6667,0.659,0.6687,0.6573
2010-06-09,0.6705,0.6678,0.675,0.6612
2010-06-10,0.6852,0.6686,0.6879,0.6681
2010-06-11,0.6897,0.6859,0.6913,0.6802
2010-06-14,0.694,0.691,0.7023,0.6902
2010-06-15,0.6983,0.6946,0.6996,0.6886
2010-06-16,0.6969,0.6987,0.7006,0.6929
2010-06-17,0.7055,0.6974,0.7061,0.6947
2010-06-18,0.7065,0.7045,0.7076,0.7017
2010-06-21,0.7069,0.7125,0.7154,0.7068
2010-06-22,0.7048,0.7082,0.7123,0.7039
2010-06-23,0.7129,0.704,0.7163,0.7025
2010-06-24,0.7081,0.7135,0.7146,0.7034
2010-06-25,0.7138,0.7083,0.7159,0.6993
2010-06-28,0.7078,0.7152,0.7152,0.7059
2010-06-29,0.6914,0.7083,0.7089,0.6909
