Data,Último,Abertura,Máxima,Mínima
2010-01-04,5.884,5.705,5.894,5.705
2010-01-05,5.637,5.837,5.858,5.615
2010-01-06,6.009,5.69,6.075,5.65
2010-01-07,5.806,6.033,6.108,5.763
2010-01-08,5.749,5.827,5.853,5.621
2010-01-11,5.454,5.576,5.625,5.371
2010-01-12,5.591,5.485,5.605,5.354
2010-01-13,5.733,5.588,5.785,5.432
2010-01-14,5.588,5.754,5.804,5.483
2010-01-15,5.691,5.587,5.732,5.519
2010-01-19,5.557,5.64,5.687,5.444
2010-01-20,5.496,5.595,5.624,5.464
2010-01-21,5.615,5.487,5.719,5.48
2010-01-22,5.819,5.658,5.869,5.65
2010-01-25,5.722,5.821,5.854,5.671
2010-01-26,5.485,5.707,5.721,5.434
2010-01-27,5.274,5.46,5.482,5.223
2010-01-28,5.138,5.23,5.258,5.06
2010-01-29,5.131,5.19,5.285,5.094
2010-02-01,5.434,5.247,5.45,5.236
2010-02-02,5.454,5.436,5.538,5.378
2010-02-03,5.419,5.441,5.558,5.36
2010-02-04,5.416,5.406,5.5,5.227
2010-02-05,5.515,5.485,5.598,5.383
2010-02-08,5.401,5.602,5.68,5.396
2010-02-09,5.29,5.42,5.466,5.262
2010-02-10,5.292,5.348,5.38,5.24
2010-02-11,5.396,5.297,5.416,5.286
2010-02-12,5.468,5.404,5.556,5.204
2010-02-16,5.31,5.429,5.56,5.305
2010-02-17,5.386,5.35,5.414,5.274
2010-02-18,5.172,5.386,5.419,5.135
2010-02-19,5.044,5.151,5.167,5.008
2010-02-22,4.895,4.95,4.977,4.841
2010-02-23,4.778,4.915,4.934,4.766
2010-02-24,4.816,4.773,4.884,4.745
2010-02-25,4.767,4.876,4.894,4.743
2010-02-26,4.813,4.8,4.853,4.739
2010-03-01,4.679,4.772,4.869,4.66
2010-03-02,4.708,4.693,4.755,4.655
2010-03-03,4.757,4.72,4.79,4.68
2010-03-04,4.575,4.761,4.787,4.556
2010-03-05,4.593,4.595,4.626,4.54
2010-03-08,4.527,4.537,4.575,4.458
2010-03-09,4.516,4.571,4.603,4.476
2010-03-10,4.559,4.51,4.595,4.45
2010-03-11,4.44,4.576,4.593,4.415
